employee_id,first_name,last_name,salary,department,years_of_experience,hire_date
1,Giraud,McGourty,121329.24,Sales,1,12/9/2021
2,Sly,De Blasi,112839.01,Sales,1,8/31/2009
4,Quinton,Cleugher,118525.16,Sales,14,9/11/2018
6,Phillida,Munning,139728.2,Sales,30,11/22/2000
7,Reiko,Tytherton,114850.74,Finance,21,7/21/2008
8,Serene,Trussman,130158.98,Finance,17,10/25/2018
11,Roscoe,Lenard,134687.98,Marketing,26,2/24/2015
12,Mady,Adhams,112114.9,Finance,3,12/27/2020
18,Brigida,Ancell,116435.39,Finance,29,1/30/2003
19,Timothee,Spinetti,129016.51,Sales,24,3/6/2014
31,Nicky,Sansum,122177.08,Marketing,24,7/15/2022
36,Vivienne,Crowcombe,108254.68,IT,7,6/1/2003
39,Henriette,Irons,117326.19,Marketing,9,3/5/2015
40,Hyatt,Lithcow,109131.55,HR,10,12/27/2002
44,Durante,Von Welden,113042.97,IT,22,8/14/2009
56,Ronica,Airdrie,134377.16,Finance,7,10/1/2019
58,Bobbette,Undrell,142972.11,Finance,10,12/18/2014
60,Gasper,Nancarrow,133473.14,HR,26,9/3/2018
61,Hendrick,Budgett,137754.44,HR,14,7/22/2015
64,Henrietta,Charlton,141015.01,Finance,1,5/7/2004
66,Wade,Harverson,128564.77,IT,14,1/20/2022
68,Pearle,Trotter,114806.69,HR,0,10/22/2007
71,Giffy,Foxley,102679.17,Finance,13,10/27/2014
78,Peggie,Marien,142637.56,HR,25,5/17/2010
80,Hayward,Tickner,111945.66,Finance,6,12/22/2006
81,Darwin,Jacques,113846.0,HR,26,4/12/2003
88,Alayne,Cranmer,103083.82,Sales,16,9/20/2006
89,Magnum,Feldklein,119939.67,HR,5,12/30/2021
93,Haywood,Wistance,110359.94,Sales,16,1/1/2017
97,Candra,Bearns,106094.63,Marketing,22,12/20/2017
99,Micheline,Gallichan,134956.72,Marketing,5,10/30/2008
101,Brigida,Forge,122650.1,Marketing,29,12/20/2003
102,Anthiathia,Vernau,123512.81,Marketing,6,12/13/2013
110,Melissa,Tackes,131255.2,Marketing,1,7/17/2019
112,Ellswerth,Grigoryev,145403.74,Finance,4,8/15/2001
114,Dex,Brunon,104887.09,HR,1,8/24/2004
121,Brennen,McIlraith,105701.5,Finance,4,1/29/2016
123,Haydon,Irvin,138727.15,Finance,17,12/24/2012
127,Ellsworth,Carlson,102208.04,Finance,19,10/31/2008
128,Fannie,Sprigging,145795.15,Marketing,29,3/12/2006
129,Selinda,De Matteis,102491.9,IT,27,10/22/2006
